customer_id,customer_name,segment,total_orders,first_order_date,last_order_date,purchase_span_days,distinct_locations,total_order_lines,total_product_references,total_sales,total_quantity,total_profit,average_complete_order_value,comparable_profit_margin_percentage,average_shipping_days,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,orders_with_unknown_sales,orders_with_unknown_profit,complete_loss_making_orders
AC-10450,"Amy Cox",Consumer,7,2023-10-31,2026-12-19,1145,7,9,9,5527.846000,43,-5115.027700,789.6922857143,-92.5320224189,3.1429,0,0,0,0,0,3
AC-10615,"Ann Chong",Corporate,5,2024-09-15,2026-12-24,830,5,18,18,2537.686000,59,298.827300,507.5372000000,11.7755821642,4.4000,0,0,0,0,0,1
AC-10660,"Anna Chung",Consumer,5,2023-10-15,2026-03-23,890,4,6,6,657.316000,16,-28.700400,131.4632000000,-4.3663017483,3.2000,0,0,0,0,0,3
AD-10180,"Alan Dominguez","Home Office",8,2023-11-19,2026-12-01,1108,8,12,12,6106.880000,274,1869.929400,763.3600000000,30.6200449329,4.1250,0,1,0,0,0,1
AF-10870,"Art Ferguson",Consumer,7,2024-12-06,2026-11-19,713,6,16,16,1878.622000,51,317.971200,81.8036666667,-7.9147633969,5.1429,1,0,0,1,0,3
AF-10885,"Art Foster",Consumer,4,2023-05-10,2025-11-10,915,4,7,7,861.565000,37,-163.117500,215.3912500000,-18.9326980553,3.7500,0,0,0,0,0,3
AG-10270,"Alejandro Grove",Consumer,9,2023-05-13,2026-09-20,1226,6,18,18,2332.485600,78,792.482300,41.3544500000,29.0741383334,2.2222,1,0,0,1,0,0
AG-10300,"Aleksandra Gannaway",Corporate,4,2023-04-26,2026-09-03,1226,4,5,5,367.548000,16,59.288400,91.8870000000,16.1307910803,5.2500,0,0,0,0,0,0
AG-10330,"Alex Grayson",Consumer,5,2025-08-03,2026-12-22,506,5,9,9,660.972000,47,-5.137100,132.1944000000,-0.7772038755,2.6000,0,0,0,0,0,1
AG-10390,"Allen Goldenen",Consumer,5,2023-04-19,2026-09-07,1237,5,8,8,200.945000,33,64.177200,40.1890000000,45.5927084200,3.0000,0,0,1,0,1,0
AG-10495,"Andrew Gjertsen",Corporate,8,2024-01-04,2026-10-13,1013,8,21,21,2356.855000,93,289.636800,294.6068750000,12.3905663985,3.7500,0,0,1,0,1,2
AG-10525,"Andy Gerbode",Corporate,4,2023-08-09,2024-09-07,395,4,9,9,973.862000,33,-31.490800,266.7553333333,20.4469645322,5.7500,1,0,1,1,1,1
AG-10675,"Anna Gayman",Consumer,7,2024-05-07,2026-09-24,870,7,15,15,3489.039600,54,-218.648700,498.4342285714,20.5850269666,4.0000,0,0,2,0,2,0
AG-10765,"Anthony Garverick","Home Office",4,2023-09-17,2026-10-14,1123,4,5,5,170.584000,20,-8.431000,42.6460000000,-4.9424330535,3.5000,0,0,0,0,0,2
AG-10900,"Arthur Gainer",Consumer,10,2023-07-23,2026-09-25,1160,10,21,21,3507.195000,243,359.400000,226.5130000000,0.2630060337,3.4000,3,1,1,3,1,3
AH-10030,"Aaron Hawkins",Corporate,7,2023-04-22,2026-12-18,1336,7,11,11,1744.700000,54,365.215200,249.2428571429,20.9328365908,3.5714,0,0,0,0,0,0
AH-10075,"Adam Hart",Corporate,10,2023-11-16,2026-11-26,1106,10,20,20,3248.117000,233,269.348000,231.1507777778,22.4014052925,3.3000,1,0,2,1,2,2
AH-10120,"Adrian Hane","Home Office",7,2023-07-18,2026-10-31,1201,7,16,16,1719.578000,65,5.795000,187.5160000000,25.6366643512,3.2857,1,0,1,1,1,3
AH-10195,"Alan Haines",Corporate,4,2024-03-05,2026-11-05,975,4,8,8,1587.452000,28,-402.866900,396.8630000000,-16.4502271882,2.7500,0,0,1,0,1,2
AH-10210,"Alan Hwang",Consumer,9,2023-11-29,2026-12-24,1121,9,13,13,4805.344000,53,1308.554600,533.9271111111,27.2312367231,5.0000,0,0,0,0,0,0
AH-10465,"Amy Hunt",Consumer,5,2024-01-03,2026-05-14,862,5,8,8,2495.391600,35,-196.120100,499.0783200000,-7.8592915036,4.2000,0,0,0,0,0,2
AH-10585,"Angele Hood",Consumer,4,2023-10-26,2026-12-09,1140,3,5,5,738.504000,17,83.963000,184.6260000000,11.3693358465,3.5000,0,0,0,0,0,0
AH-10690,"Anna Häberlin",Corporate,12,2023-04-02,2025-11-15,958,12,23,23,7854.806000,102,1302.912600,710.5130909091,16.8608831211,4.3333,1,0,1,1,1,2
AI-10855,"Arianne Irving",Consumer,10,2023-04-28,2026-12-17,1329,9,18,18,4301.708000,72,867.727100,362.7855000000,13.0988111432,3.9000,2,0,0,2,0,1
AJ-10780,"Anthony Jacobs",Corporate,7,2023-01-10,2026-10-16,1375,7,15,15,4602.494000,62,141.413000,866.1848000000,0.7292623930,4.0000,2,0,1,2,1,2
AJ-10795,"Anthony Johnson",Corporate,7,2023-05-14,2026-07-17,1160,7,21,21,3733.439000,88,1129.756400,522.6268333333,23.0081771639,4.1429,1,0,1,1,1,0
AJ-10945,"Ashley Jarboe",Consumer,7,2023-03-03,2026-10-06,1313,7,10,10,1839.240000,40,437.140800,262.7485714286,21.6435662162,4.2857,0,0,1,0,1,0
AJ-10960,"Astrea Jones",Consumer,3,2023-09-14,2026-10-17,1129,3,5,5,629.248000,22,60.426500,209.7493333333,9.6029705299,4.0000,0,0,0,0,0,0
AM-10360,"Alice McCarthy",Corporate,5,2023-10-06,2026-12-02,1153,5,12,12,804.988000,48,110.507800,158.7805000000,8.2130992156,3.0000,1,0,0,1,0,2
AM-10705,"Anne McFarland",Consumer,8,2023-10-31,2026-07-21,994,8,22,22,5664.022000,78,1085.732600,708.0027500000,19.1689333128,4.6250,0,1,0,0,0,1
AO-10810,"Anthony O'Donnell",Corporate,1,2025-08-16,2025-08-16,0,1,1,1,161.280000,2,12.096000,161.2800000000,7.5000000000,3.0000,0,0,0,0,0,0
AP-10720,"Anne Pryor","Home Office",8,2023-03-03,2026-11-19,1357,8,19,19,1606.406000,85,285.788800,267.7343333333,17.7232281254,3.8750,2,0,0,2,0,3
AP-10915,"Arthur Prichep",Consumer,10,2023-08-23,2026-09-23,1127,9,31,31,3314.806000,102,570.808800,268.8651111111,12.2401313088,4.6000,1,0,1,1,1,1
AR-10345,"Alex Russell",Corporate,6,2023-09-10,2026-09-10,1096,5,7,7,1073.354000,21,-219.692200,178.8923333333,-20.7555594186,3.5000,0,0,1,0,1,2
AR-10405,"Allen Rosenblatt",Corporate,5,2023-10-03,2026-08-27,1059,5,7,7,2092.696000,29,-98.764600,492.5860000000,-5.8931333818,4.0000,1,0,0,1,0,1
AR-10510,"Andrew Roberts",Consumer,5,2023-05-02,2026-12-16,1324,5,7,7,264.864000,33,43.669500,52.9728000000,16.4875181225,3.6000,0,0,0,0,0,1
AR-10540,"Andy Reiter",Consumer,6,2023-11-25,2026-12-24,1125,6,9,9,6608.448000,33,2884.620800,1101.4080000000,43.6505031136,3.3333,0,0,0,0,0,0
AR-10570,"Anemone Ratner",Consumer,1,2025-07-14,2025-07-14,0,1,2,2,51.750000,6,15.525000,NULL,NULL,5.0000,1,0,1,1,1,0
AR-10825,"Anthony Rawles",Corporate,8,2023-06-30,2026-11-02,1221,8,13,13,3408.166000,291,494.835200,486.8808571429,4.7029458072,4.5000,1,0,0,1,0,2
AS-10045,"Aaron Smayling",Corporate,7,2023-07-27,2026-10-03,1164,7,10,10,2573.026000,46,-21.810100,428.8376666667,-11.5235369204,3.5714,1,1,2,1,2,3
AS-10090,"Adam Shillingsburg",Consumer,9,2023-09-22,2026-12-02,1167,8,25,25,3251.866000,318,68.324600,321.4000000000,17.7017240128,3.8889,1,0,1,1,1,2
AS-10135,"Adrian Shami","Home Office",2,2025-11-13,2026-11-19,371,2,3,3,58.820000,9,21.849600,29.4100000000,37.1465487929,4.5000,0,0,0,0,0,0
AS-10225,"Alan Schoenberger",Corporate,5,2023-10-18,2026-12-08,1147,5,13,13,2865.834000,278,719.775100,510.9960000000,13.4582707105,4.2000,1,0,0,1,0,1
AS-10240,"Alan Shonely",Consumer,7,2023-03-15,2026-06-21,1194,7,13,13,584.608000,39,33.715800,83.5154285714,5.7672491653,3.7143,0,0,0,0,0,1
AS-10285,"Alejandro Savely",Corporate,6,2025-05-21,2026-12-11,569,6,8,8,3015.268000,39,354.627600,753.3260000000,10.0756445417,3.6667,2,0,0,2,0,1
AS-10630,"Ann Steele","Home Office",7,2023-08-01,2026-09-29,1155,7,12,12,820.118000,269,104.580700,136.6863333333,26.9549554751,5.5714,1,1,2,1,2,0
AT-10435,"Alyssa Tate","Home Office",6,2023-11-24,2026-12-09,1111,5,9,9,1171.814000,28,100.876800,195.3023333333,8.6086017064,4.1667,0,0,0,0,0,2
AT-10735,"Annie Thurman",Consumer,10,2023-08-30,2026-12-17,1205,10,16,16,3831.864000,455,974.107000,383.1864000000,25.4212310249,4.0000,0,0,0,0,0,0
AW-10840,"Anthony Witt",Consumer,4,2024-04-13,2026-12-10,971,4,8,8,649.376000,24,28.772500,162.3440000000,3.6903938616,2.7500,0,0,1,0,1,1
AW-10930,"Arthur Wiediger","Home Office",7,2023-07-14,2026-11-14,1219,7,16,16,2852.968000,68,-104.548600,407.5668571429,-3.6645556487,4.1429,0,0,0,0,0,2
AY-10555,"Andy Yotov",Corporate,4,2023-04-06,2026-12-16,1350,4,10,10,497.014000,34,103.349900,124.2535000000,20.7941627399,4.2500,0,0,0,0,0,0
AZ-10750,"Annie Zypern",Consumer,6,2023-03-17,2026-07-23,1224,6,12,12,1500.482000,198,139.758300,300.0964000000,9.3142270284,4.1667,1,0,1,1,1,0
BB-10990,"Barry Blumstein",Corporate,5,2023-07-27,2026-09-16,1147,5,8,8,744.340000,26,-27.195300,148.8680000000,5.3475088045,4.0000,0,0,1,0,1,0
BB-11545,"Brenda Bowman",Corporate,9,2024-06-05,2026-12-02,910,9,20,20,6741.140000,83,1011.519800,840.7650000000,18.9203506858,4.4444,1,0,2,1,2,2
BC-11125,"Becky Castell","Home Office",9,2023-07-06,2026-06-11,1071,9,18,18,2933.676000,60,140.958400,325.9640000000,4.8048387075,3.4444,0,0,0,0,0,3
BD-11320,"Bill Donatelli",Consumer,12,2024-05-31,2026-11-27,910,11,19,19,5426.561000,75,886.655700,493.3237272727,16.4762058093,4.4167,1,0,2,1,2,3
BD-11500,"Bradley Drucker",Consumer,6,2023-02-01,2026-11-25,1393,6,10,10,4392.107000,49,1188.645900,813.3938000000,26.7001051643,4.1667,1,0,0,1,0,0
BD-11560,"Brendan Dodson","Home Office",2,2024-05-30,2026-03-27,666,2,4,4,320.540000,11,116.714000,160.2700000000,36.4116802895,4.0000,0,0,0,0,0,0
BD-11605,"Brian Dahlen",Consumer,9,2023-01-13,2026-09-24,1350,8,22,22,3315.214500,84,655.710300,368.3571666667,19.7788197415,4.7778,0,0,0,0,0,0
BD-11620,"Brian DeCherney",Consumer,6,2023-06-30,2026-10-22,1210,6,8,8,1532.126000,27,184.078700,284.7100000000,18.7981080546,2.1667,1,0,1,1,1,1
BD-11635,"Brian Derr",Consumer,3,2023-10-05,2026-12-21,1173,3,5,5,185.600000,19,141.534000,81.4600000000,24.0486128161,4.0000,2,0,0,1,0,0
BD-11725,"Bruce Degenhardt",Consumer,6,2024-07-03,2026-09-28,817,6,10,10,1526.500000,29,333.979100,254.4166666667,21.8787487717,4.0000,0,0,0,0,0,0
BD-11770,"Bryan Davis",Consumer,6,2025-03-10,2026-02-06,333,6,10,10,658.466000,21,141.265000,109.7443333333,21.4536513654,4.3333,0,0,0,0,0,0
BE-11335,"Bill Eplett","Home Office",5,2025-01-15,2026-09-02,595,5,9,9,4204.676000,35,1485.038300,840.9352000000,35.3187332389,3.8000,0,0,0,0,0,0
BE-11410,"Bobby Elias",Consumer,5,2025-02-07,2026-09-23,593,5,5,5,2261.438000,412,755.915100,452.2876000000,33.4263022024,2.8000,0,1,0,0,0,0
BE-11455,"Brad Eason","Home Office",6,2024-08-02,2026-04-20,626,6,13,13,1727.652000,33,123.663600,287.9420000000,2.4769000861,3.1667,0,1,1,0,1,1
BF-10975,"Barbara Fisher",Corporate,7,2023-07-14,2026-09-30,1174,7,13,13,599.798000,38,227.438400,85.6854285714,37.9191661193,4.1429,0,0,0,0,0,1
BF-11005,"Barry Franz","Home Office",4,2023-09-25,2026-11-21,1153,4,10,10,1333.880000,26,87.018900,333.4700000000,9.6276950897,4.2500,0,0,1,0,1,0
BF-11020,"Barry Französisch",Corporate,8,2023-02-15,2026-10-17,1340,8,21,21,2833.346000,311,294.762400,290.3420000000,13.6235772526,2.7500,2,1,1,2,1,2
BF-11080,"Bart Folk",Consumer,3,2023-11-28,2026-12-05,1103,3,6,6,272.950000,29,110.927200,90.9833333333,40.6401172376,4.0000,0,0,0,0,0,0
BF-11170,"Ben Ferrer","Home Office",13,2023-04-13,2026-12-14,1341,12,37,37,7848.498000,143,-691.175800,734.3788000000,-15.6980142848,4.4615,3,2,3,3,2,2
BF-11215,"Benjamin Farhat","Home Office",4,2023-11-09,2026-10-26,1082,4,8,8,1585.162000,48,523.213300,396.2905000000,33.0069292602,5.2500,0,0,0,0,0,0
BF-11275,"Beth Fritzler",Corporate,3,2023-03-22,2026-11-03,1322,3,4,4,791.990000,11,25.870200,263.9966666667,3.2664806374,4.3333,0,0,0,0,0,1
BG-11035,"Barry Gonzalez",Consumer,8,2023-11-05,2026-12-02,1123,8,12,12,2798.948000,272,-711.427400,349.8685000000,-25.4176712108,3.6250,0,0,0,0,0,2
BG-11695,"Brooke Gillingham",Corporate,6,2023-05-11,2026-11-24,1293,6,8,8,1874.172000,21,107.571500,312.3620000000,5.7396813099,3.6667,0,1,0,0,0,1
BG-11740,"Bruce Geld",Consumer,6,2023-03-23,2026-11-03,1321,6,7,7,519.988000,22,116.126500,103.9976000000,15.6151044158,4.0000,1,0,1,1,1,0
BG-18435,"Bruce Galang",Consumer,5,2023-12-29,2026-12-29,1096,1,12,10,541.420000,43,188.124400,130.4550000000,34.2074880118,5.2000,1,1,1,1,1,0
BH-11710,"Brosina Hoffman",Consumer,8,2023-06-09,2026-12-07,1277,8,24,24,6222.366000,97,723.799800,888.9094285714,7.3985854077,3.8750,1,0,2,1,2,2
BK-11260,"Berenike Kampe",Consumer,6,2023-08-03,2026-10-14,1168,5,16,16,444.188000,58,56.607600,68.9176000000,33.7803986210,4.8333,1,0,1,1,1,0
BM-11140,"Becky Martin",Consumer,4,2023-09-08,2026-02-26,902,4,16,16,11789.630000,64,-1659.958100,2947.4075000000,-14.0798150578,3.0000,0,0,0,0,0,1
BM-11575,"Brendan Murry",Corporate,6,2024-09-15,2026-09-21,736,5,10,10,808.162000,22,24.560800,134.6936666667,3.0390936471,4.0000,0,0,0,0,0,3
BM-11650,"Brian Moss",Corporate,11,2023-07-09,2026-11-27,1237,11,29,28,7282.665000,95,2180.032700,703.6167000000,30.6042541542,3.8182,1,0,1,1,1,2
BM-11785,"Bryan Mills",Consumer,10,2023-06-06,2026-05-26,1085,9,14,14,1338.842000,44,-12.368600,133.8842000000,-1.0886080171,3.3000,0,0,1,0,1,3
BN-11470,"Brad Norvell",Corporate,4,2023-09-12,2026-12-06,1181,4,6,6,265.296000,15,17.843600,66.3240000000,16.3744648150,3.7500,0,0,1,0,1,0
BN-11515,"Bradley Nguyen",Consumer,5,2023-03-17,2026-12-21,1375,5,17,17,1419.584000,71,340.705400,159.5300000000,35.7193631292,4.8000,1,1,0,1,0,0
BO-11350,"Bill Overfelt",Corporate,5,2025-01-03,2026-08-15,589,5,12,12,2682.728000,41,278.777000,536.5456000000,10.3915491992,5.2000,0,1,0,0,0,1
BO-11425,"Bobby Odegard",Consumer,2,2024-09-10,2026-10-16,766,2,2,2,130.830000,7,59.452200,65.4150000000,45.4423297409,6.0000,0,0,0,0,0,0
BP-11050,"Barry Pond",Corporate,5,2023-10-12,2026-10-08,1092,4,7,7,663.500000,30,209.783000,25.0250000000,23.7808191808,4.4000,1,0,0,1,0,1
BP-11095,"Bart Pistole",Corporate,14,2023-06-07,2026-12-13,1285,12,24,24,3338.412000,85,-1650.395600,256.8009230769,-73.0254469144,3.2143,1,0,3,1,3,4
BP-11155,"Becky Pak",Consumer,6,2024-06-04,2026-10-02,850,6,11,11,1575.901000,32,647.384700,244.4002000000,38.5965559766,4.1667,1,0,0,1,0,1
BP-11185,"Ben Peterman",Corporate,9,2024-03-24,2026-12-29,1010,9,18,18,3534.489000,66,123.833500,441.8111250000,2.2293208810,3.6667,1,1,2,1,2,2
BP-11230,"Benjamin Patterson",Consumer,5,2023-04-20,2026-11-21,1311,5,6,6,1110.510000,14,-197.269500,277.6275000000,-19.6174460383,4.8000,1,0,0,1,0,1
BP-11290,"Beth Paige",Consumer,7,2023-10-03,2026-12-18,1172,7,16,16,2475.157000,51,-103.332400,353.5938571429,-6.5447041229,3.8571,0,0,2,0,2,3
BS-11365,"Bill Shonely",Corporate,5,2023-05-04,2025-06-20,778,5,9,9,10501.653000,32,250.082600,2100.3306000000,17.1907179338,3.2000,0,1,1,0,1,0
BS-11380,"Bill Stewart",Corporate,5,2023-11-29,2026-12-02,1099,5,13,13,3887.834000,58,-35.351200,777.5668000000,15.1571992841,4.6000,0,0,2,0,1,0
BS-11590,"Brendan Sweed",Corporate,6,2023-01-14,2026-11-25,1411,6,10,10,2434.072000,357,398.465500,484.9364000000,16.7166127352,4.6667,1,0,1,1,1,1
BS-11665,"Brian Stugart",Consumer,3,2023-06-23,2025-05-27,704,3,11,11,3288.110000,47,272.095000,1096.0366666667,9.0035316651,4.3333,0,0,1,0,1,0
BS-11755,"Bruce Stewart",Consumer,7,2023-05-18,2026-12-29,1321,7,14,14,2562.382000,45,-2118.783700,366.0545714286,-86.0190266263,4.8571,0,0,1,0,1,3
BS-11800,"Bryan Spruell","Home Office",2,2024-09-26,2026-04-09,560,2,8,8,949.430000,22,194.051600,474.7150000000,20.4387474590,3.5000,0,0,0,0,0,0
BT-11305,"Beth Thompson","Home Office",5,2023-04-25,2026-01-28,1009,5,9,9,2567.656000,30,389.061500,513.5312000000,14.4080199615,4.8000,0,1,2,0,2,0
BT-11395,"Bill Tyler",Corporate,6,2023-10-28,2026-03-03,857,6,10,10,2186.613000,38,261.304200,364.4355000000,11.9612383561,4.3333,0,0,1,0,1,1
BT-11440,"Bobby Trafton",Consumer,4,2023-06-04,2025-06-18,745,4,7,7,603.876000,16,-77.525600,150.9690000000,-12.8379998543,3.5000,0,0,0,0,0,2
BT-11485,"Brad Thomas","Home Office",2,2024-12-27,2025-03-11,74,2,3,3,415.196000,11,126.869400,207.5980000000,30.5565082515,2.0000,0,0,0,0,0,0
BT-11530,"Bradley Talbott","Home Office",5,2023-05-21,2026-09-30,1228,5,10,10,2661.372000,44,409.498300,143.4430000000,19.2398199982,3.4000,1,0,0,1,0,1
BT-11680,"Brian Thompson",Consumer,7,2023-11-28,2026-12-10,1108,7,20,20,3196.752000,88,442.017200,456.6788571429,13.9102002487,4.1429,0,0,1,0,1,1
BV-11245,"Benjamin Venier",Corporate,5,2024-03-26,2026-01-30,675,5,14,14,1523.273000,49,214.681400,304.6546000000,14.0934290833,3.8000,0,0,0,0,0,0
BW-11065,"Barry Weirich",Consumer,3,2023-05-25,2026-06-01,1103,3,3,3,14.620000,8,-58.286600,14.6200000000,46.0000000000,4.6667,2,0,0,2,0,1
BW-11110,"Bart Watters",Corporate,8,2024-03-20,2026-08-31,894,7,17,17,1690.376000,74,921.257400,241.4822857143,14.2726470324,4.8750,1,0,0,1,0,2
BW-11200,"Ben Wallace",Consumer,6,2023-08-12,2026-06-10,1033,6,10,10,1738.406000,49,246.997300,289.7343333333,14.2082632020,4.3333,0,0,0,0,0,1
CA-11965,"Carol Adams",Corporate,6,2023-01-26,2026-09-25,1338,6,10,10,3789.722800,29,1139.204800,631.6204666667,30.1497218226,4.6667,0,0,1,0,1,0
CA-12055,"Cathy Armstrong","Home Office",5,2024-09-05,2025-11-24,445,5,10,10,1679.724000,286,205.921900,335.9448000000,8.5117249902,4.6000,0,0,1,0,1,2
CA-12265,"Christina Anderson",Consumer,9,2023-03-25,2026-11-04,1320,9,17,17,2643.359200,460,279.618300,299.9864000000,12.4026955889,4.0000,1,0,0,1,0,3
CA-12310,"Christine Abelman",Corporate,4,2023-07-19,2026-12-17,1247,4,11,11,1418.144000,25,246.021800,322.2413333333,15.0017378280,4.5000,1,0,0,1,0,0
CA-12775,"Cynthia Arntzen",Consumer,7,2023-06-28,2026-09-01,1161,6,17,17,3041.566000,309,68.659300,434.5094285714,2.5776881889,3.0000,0,0,2,0,2,1
CB-12025,"Cassandra Brandow",Consumer,10,2023-03-21,2026-11-13,1333,10,26,26,5337.531000,359,138.559300,452.3642857143,21.3148457063,4.0000,3,0,1,3,1,2
CB-12415,"Christy Brittain",Consumer,8,2024-11-05,2026-12-04,759,8,12,12,1921.816000,44,-100.803100,270.4611428571,1.6949252811,3.7500,1,0,0,1,0,4
CB-12535,"Claudia Bergmann",Corporate,8,2024-01-02,2026-06-16,896,8,19,19,4360.695500,229,1048.307300,545.0869375000,24.0860423815,3.7500,0,1,1,0,1,0
CC-12100,"Chad Cunningham","Home Office",6,2023-12-16,2025-09-29,653,6,13,13,1770.945000,46,-2997.805200,295.1575000000,-169.2771486410,3.0000,0,0,0,0,0,2
CC-12145,"Charles Crestani",Consumer,7,2023-07-20,2026-09-15,1153,7,11,11,2471.650000,110,394.318900,353.0928571429,16.2663821389,4.2857,0,0,1,0,1,0
CC-12220,"Chris Cortes",Consumer,12,2023-09-09,2026-12-10,1188,12,22,22,3367.502000,81,391.031600,273.5729090909,9.4523362473,4.0000,1,0,1,1,1,2
CC-12370,"Christopher Conant",Consumer,5,2025-05-23,2026-11-17,543,5,11,11,12129.072000,34,2177.049300,2425.8144000000,17.9490178639,3.6000,0,0,0,0,0,1
CC-12430,"Chuck Clark","Home Office",12,2023-05-20,2026-12-30,1320,11,25,25,4328.558000,81,411.398700,387.2668000000,7.2283883715,4.3333,2,1,1,2,1,2
CC-12475,"Cindy Chapman",Consumer,9,2023-05-16,2026-11-21,1285,9,13,13,1659.438000,40,154.851000,184.3820000000,9.3315327237,3.2222,0,0,0,0,0,1
CC-12550,"Clay Cheatham",Consumer,3,2026-06-15,2026-12-03,171,3,4,4,113.832000,14,33.870600,37.9440000000,29.7549019608,3.6667,0,0,0,0,0,0
CC-12610,"Corey Catlett",Corporate,7,2023-08-27,2026-11-26,1187,7,12,12,2540.631000,39,334.432500,362.9472857143,22.1228911881,3.0000,0,0,1,0,1,2
CC-12670,"Craig Carreira",Consumer,7,2023-12-23,2026-12-01,1074,7,14,14,2269.701500,284,188.888900,324.2430714286,10.7026775408,3.8571,0,0,1,0,1,1
CC-12685,"Craig Carroll",Consumer,4,2023-03-22,2024-10-23,581,4,12,12,2802.650000,51,850.159100,931.6686666667,32.0384285400,4.2500,1,0,0,1,0,1
CD-11920,"Carlos Daly",Consumer,5,2023-03-24,2026-11-20,1337,5,9,9,2033.968000,35,99.068800,406.7936000000,17.4168247944,4.2000,0,0,1,0,1,0
CD-11980,"Carol Darley",Consumer,3,2025-11-24,2026-11-06,347,3,6,6,320.806000,13,-206.717200,160.4030000000,-111.1663746937,4.6667,1,1,0,1,0,1
CD-12280,"Christina DeMoss",Consumer,2,2026-11-05,2026-11-18,13,2,13,13,906.564000,39,231.606600,NULL,NULL,4.0000,2,0,1,2,1,0
CD-12790,"Cynthia Delaney","Home Office",5,2023-02-02,2025-11-26,1028,5,15,15,1860.732000,49,403.842200,372.1464000000,32.0718838708,3.6000,0,0,1,0,1,0
CG-12040,"Catherine Glotzbach","Home Office",6,2024-06-01,2026-11-11,893,6,9,9,874.750000,37,73.212000,73.2892000000,12.0812002275,5.1667,1,0,1,1,1,0
CG-12520,"Claire Gute",Consumer,3,2024-10-15,2026-01-26,468,3,5,5,1017.404000,8,169.934400,506.0300000000,26.0173902733,1.3333,1,1,0,1,0,1
CH-12070,"Cathy Hwang","Home Office",3,2024-06-25,2025-02-08,228,3,4,4,1458.980000,11,195.151100,713.9380000000,14.1379433508,3.6667,1,1,0,1,0,1
CJ-11875,"Carl Jackson",Corporate,1,2025-12-30,2025-12-30,0,1,1,1,16.520000,5,1.652000,16.5200000000,10.0000000000,3.0000,0,0,0,0,0,0
CJ-12010,"Caroline Jumper",Consumer,8,2025-03-10,2026-06-24,471,8,20,20,7153.184000,71,851.326800,1052.8596666667,12.3629262174,4.7500,2,2,2,2,2,1
CK-12205,"Chloris Kastensmidt",Consumer,13,2023-03-11,2026-11-21,1351,11,32,32,3032.255000,280,141.283100,268.3002727273,1.8615337022,3.9231,2,0,0,2,0,5
CK-12325,"Christine Kargatis","Home Office",5,2023-03-14,2026-09-01,1267,5,12,12,2945.321000,46,261.220900,589.0642000000,8.8690129191,5.2000,0,0,0,0,0,1
CK-12595,"Clytie Kelty",Consumer,11,2023-12-26,2026-11-17,1057,11,25,25,2299.850000,737,497.709800,169.3880000000,12.8051632937,3.7273,2,1,0,1,0,2
CK-12760,"Cyma Kinney",Corporate,9,2023-02-07,2026-10-09,1340,9,14,14,1556.399000,59,-338.431100,193.4661250000,-22.5614820166,4.6667,1,1,0,1,0,2
